column,data_type,description,alias

Task Start date,time,Starting date of SEMBU task,task start time;start date of work;starting date of given task;task's starting time
Task End date,time,Ending date of SEMBU task,task end time;end date of work;ending date of given task;task's ending time
part_of,string,Task is part of a given project,task_of;task of
assigned to,wikibase-item,Task is assigned to a SEMBU team member,assigned_to;responsibility of


Client,string,Organization,Organization
Project,string,Name of the SEMBU Project,Project name
Project Type,string,Type of Project,Project type
Task,wikibase-item,Name of the main task,Project Title
Owner,string,Name of the Project Owner,Project Owner
Member,string,Name of the Project Member,Project Member
Duration (in days),time,Duration of the project,Project Duration
